name,address,lat,lng
"2nd Street SS15 Subang Jaya","A6, Jalan SS 15/8A, SS 15, 47500 Subang Jaya, Selangor",3.0772,101.5886
"2nd Street Taipan USJ 10","2, Jalan USJ 10/1, Taipan Business Centre, 47620 Subang Jaya, Selangor",3.0483,101.5835
"2nd Street Bandar Utama","Unit G-1, Westpoint Home Gallery, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",3.1424,101.6152
"2nd Street Bangsar Baru","2, Jalan Telawi 5, Bangsar Baru, 59100 Kuala Lumpur",3.1319,101.6710
"2nd Street PJ Old Town","No. 56-1, 56-2, 58-1 & 58-2, Jalan 1/19, Seksyen 1, 46000 Petaling Jaya, Selangor",3.0872,101.6465
"2nd Street KL Traders Square","Unit 91-G & 91-1, KL Traders Square, Jalan Gombak, Setapak, 53000 Kuala Lumpur",3.1942,101.7047
"2nd Street Kuchai Lama","41, Jalan Kuchai Maju 13, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur",3.0906,101.6885
"2nd Street Bandar Damai Perdana","No. 3-1, 3-2 & 3-3, Jalan Damai Perdana 1/8B, Taman Persiaran Damai Perdana, 56000 Cheras, Kuala Lumpur",3.0538,101.7428
"2nd Street Quill City Mall","Lot 1-018, Level 1, Quill City Mall, 1018, Jalan Sultan Ismail, 50250 Kuala Lumpur",3.1594,101.7001
"2nd Street Lotus's Setia Alam","F58, 2, Jalan Setia Prima U13/3, Seksyen U13, Setia Alam, 40170 Shah Alam, Selangor",3.1098,101.4447
"2nd Street Taman TTDI Jaya","2-1 & 2-2, Jalan Opera C U2/C, Taman TTDI Jaya, 40150 Shah Alam, Selangor",3.1012,101.5524
"2nd Street Kepong","No. 18, Jalan Kepong Usaha 2, Kawasan Perusahaan Kepong, 52000 Kuala Lumpur",3.2162,101.6375
"2nd Street SS2","No. 64, Jalan SS 2/67, SS 2, 47300 Petaling Jaya, Selangor",3.1197,101.6214
"2nd Street TTDI","Jalan Tun Mohd Fuad 3, Taman Tun Dr Ismail, 60000 Kuala Lumpur",3.1415,101.6288
"2nd Street Kota Damansara","22, Jalan PJU 5/8, Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor",3.1517,101.5936
"2nd Street Sungei Wang Plaza","Lot E50, 4th Floor, Sungei Wang Plaza, Jalan Sultan Ismail, Bukit Bintang, 50250 Kuala Lumpur",3.1456,101.7118
